SiteName,State,Address,City,Acres,DNI,EstPVCap
BOEING COMPANY AUBURN,WA,700 15TH ST SW,AUBURN,500.0,3.15,
SAFETY KLEEN SYSTEMS INC AUBURN 118101,WA,3210 C ST NE UNIT G,AUBURN,2.0,3.15,
BOEING A&M SPACE CENTER,WA,20403 68TH AVE S,KENT,,3.33,
UNIVAR USA INC KENT,WA,8201 S 212TH ST,KENT,12.0,3.33,
BSB DIVERSIFIED CO INC,WA,8202 S 200TH ST,KENT,4.0,3.33,
BURLINGTON ENVIRONMENTAL LLC KENT,WA,20245 77TH AVE S,KENT,6.0,3.33,
BOEING RENTON,WA,737 LOGAN AVE N,RENTON,277.0,3.33,
BURLINGTON ENVIRONMENTAL LLC GEORGETOWN,WA,734 S LUCILE ST,SEATTLE,3.0,3.41,
BOEING PLANT 2,WA,7755 E MARGINAL WAY S,SEATTLE,109.0,3.41,
GE AVIATION,WA,220 S DAWSON ST,SEATTLE,2.0,3.41,
CONTAINER PROPERTIES LLC,WA,9229 E MARGINAL WAY S TUKWILA,TUKWILA,21.0,3.51,3.5
BOEING A&M DEVELOPMENTAL CENTER,WA,9725 E MARGINAL WAY S,SEATTLE,165.0,3.51,27.5
EMERALD SERVICES INC AIRPORT WAY,WA,1500 AIRPORT WAY S,SEATTLE,1.0,3.41,
BOEING EVERETT,WA,3003 W CASINO RD,EVERETT,1026.0,3.2,
TESORO REFINING & MARKETING COMPANY,WA,W MARCH PT RD,ANACORTES,935.0,3.28,
SHELL OPUS PUGET SOUND REFINERY,WA,8505 S TEXAS RD,ANACORTES,835.0,3.28,
NORTHWEST PETROCHEMICAL CORP,WA,9056 N TEXAS RD NW PETRO,ANACORTES,3.0,3.28,
STELLA JONES CORPORATION,WA,6520 188TH ST NE,ARLINGTON,57.0,3.05,
BP CHERRY POINT REFINERY,WA,4519 GRANDVIEW RD,BLAINE,2400.0,3.55,400.0
CONOCOPHILLIPS CO FERNDALE REFINERY,WA,3901 UNICK RD,FERNDALE,900.0,3.55,150.0
MCFARLAND CASCADE POLE & LUMBER CO,WA,1640 E MARC ST,TACOMA,43.0,3.33,
OCCIDENTAL CHEMICAL CORP,WA,605 ALEXANDER AVE,TACOMA,33.0,3.33,
"SSA TACOMA, INC",WA,3320 LINCOLN AVE E,TACOMA,52.0,3.23,
BURLINGTON ENVIRONMENTAL LLC TACOMA,WA,1701 E ALEXANDER AVE,TACOMA,18.0,3.23,
