SiteName,State,Address,City,Acres,WS80m,EstWindCap
ROOSEVELT REGIONAL MSW LANDFILL,WA,500 Roosevelt Grade Road,ROOSEVELT,2545.0,6.67,48.92
HAMILTON ISLAND LANDFILL (USA/COE),WA,BONNEVILLE LOCK & DAM,NORTH BONNEVILLE,250.0,6.22,16.31
LOWER COUNTY SHOP,WA,505 W. 14th Ave.,ELLENSBURG,2.9,6.07,2.06
MICA LANDFILL,WA,"T24N R44E S11,14",MICA,160.0,6.92,13.25
BP CHERRY POINT REFINERY,WA,4519 GRANDVIEW RD,BLAINE,2400.0,5.62,47.47
CONOCOPHILLIPS CO FERNDALE REFINERY,WA,3901 UNICK RD,FERNDALE,900.0,5.62,29.56
COLUMBIA GORGE ALUMINUM,WA,85 JOHN DAY DAM RD,GOLDENDALE,7000.0,5.68,93.47
RICHLAND HORN RAPIDS LF,WA,3102 Twin Bridges Road,RICHLAND,114.0,5.5,11.32
FAIRCHILD AIR FORCE BASE (4 WASTE AREAS),WA,US HIGHWAY 2 W OF SPOKANE,SPOKANE,4332.0,5.65,66.79
"NAVAL AIR STATION, WHIDBEY ISLAND (AULT FIELD)",WA,UNSPECIFIED,WHIDBEY ISLAND,7000.0,5.81,93.47
GREENACRES LANDFILL,WA,LIBERTY LK,SPOKANE COUNTY,58.0,5.77,8.27
UNIVAR USA INC,WA,4515 WISCONSIN AVE E,SPOKANE,4.0,5.78,2.39
CROP PRODUCTION SERVICES WALLA WALLA,WA,3083 E ISAACS AVE,WALLA WALLA,4.0,5.59,2.39
SCHWERIN CONCAVES WALLA WALLA,WA,1106 SAPPOLIL RD,WALLA WALLA,10.0,5.77,3.66
EPHRATA LF,WA,"3803 Neva Lake Road, NW
off Highway 28",EPHRATA,26.0,5.53,5.7
GENERAL ELECTRIC CO. (SPOKANE APPARATUS SERVICE SHOP),WA,E 4323 MISSION AV,SPOKANE,6.79,5.78,3.06
