period,fueltypeid,generation,generation-units,generation_MWh
2023-12,SUN,6.725,thousand megawatthours,6725.0
2023-11,SUN,14.602,thousand megawatthours,14602.0
2023-10,SUN,26.615,thousand megawatthours,26615.0
2023-09,SUN,35.155,thousand megawatthours,35155.0
2023-08,SUN,45.708,thousand megawatthours,45708.0
2023-07,SUN,53.632,thousand megawatthours,53632.0
2023-06,SUN,52.846,thousand megawatthours,52846.0
2023-05,SUN,16.839,thousand megawatthours,16839.0
2023-04,SUN,41.995,thousand megawatthours,41995.0
2023-03,SUN,33.866,thousand megawatthours,33866.0
2023-02,SUN,22.301,thousand megawatthours,22301.0
2023-01,SUN,14.032,thousand megawatthours,14032.0
2023-12,WND,476.825,thousand megawatthours,476825.0
2023-11,WND,512.892,thousand megawatthours,512892.00000000006
2023-10,WND,398.358,thousand megawatthours,398358.0
2023-09,WND,657.211,thousand megawatthours,657211.0
2023-08,WND,663.266,thousand megawatthours,663266.0
2023-07,WND,651.431,thousand megawatthours,651431.0
2023-06,WND,660.072,thousand megawatthours,660072.0
2023-05,WND,520.45,thousand megawatthours,520450.00000000006
2023-04,WND,767.337,thousand megawatthours,767337.0
2023-03,WND,814.079,thousand megawatthours,814079.0
2023-02,WND,860.349,thousand megawatthours,860349.0
2023-01,WND,567.369,thousand megawatthours,567369.0
2023-12,HYC,5332.60542,thousand megawatthours,5332605.42
2023-11,HYC,5083.47794,thousand megawatthours,5083477.9399999995
2023-10,HYC,3756.95972,thousand megawatthours,3756959.7199999997
2023-09,HYC,3378.54849,thousand megawatthours,3378548.49
2023-08,HYC,5334.25122,thousand megawatthours,5334251.22
2023-07,HYC,5412.21392,thousand megawatthours,5412213.92
2023-06,HYC,5772.84156,thousand megawatthours,5772841.56
2023-05,HYC,8633.21096,thousand megawatthours,8633210.96
2023-04,HYC,3782.60146,thousand megawatthours,3782601.46
2023-03,HYC,4378.38346,thousand megawatthours,4378383.46
2023-02,HYC,4860.72391,thousand megawatthours,4860723.91
2023-01,HYC,5720.03078,thousand megawatthours,5720030.78
2023-12,ALL,8926.14959,thousand megawatthours,8926149.590000002
2023-11,ALL,8613.80748,thousand megawatthours,8613807.479999999
2023-10,ALL,7533.29243,thousand megawatthours,7533292.430000001
2023-09,ALL,7337.22552,thousand megawatthours,7337225.52
2023-08,ALL,9467.61476,thousand megawatthours,9467614.76
2023-07,ALL,9249.28988,thousand megawatthours,9249289.88
2023-06,ALL,7915.74594,thousand megawatthours,7915745.9399999995
2023-05,ALL,9702.35927,thousand megawatthours,9702359.270000001
2023-04,ALL,7402.81021,thousand megawatthours,7402810.21
2023-03,ALL,8761.36331,thousand megawatthours,8761363.31
2023-02,ALL,8507.3509,thousand megawatthours,8507350.9
2023-01,ALL,9543.59593,thousand megawatthours,9543595.93
